timestamp(ms),tracked,camPosX,camPosY,camPosZ,camRotX,camRotY,camRotZ,gazePosX,gazePosY,gazePosZ,gazeRotX,gazeRotY,gazeRotZ
6575.1166,True,45.3086,12.10218,141.5245,26.71342,19.69779,6.145978,-0.001118164,0.003062264,0.04057284,10.54988,193.6035,284.5153
6597.0569,True,45.31591,12.1053,141.5215,25.65273,22.59631,6.383949,-0.0005988617,0.002824348,0.03994864,9.60932,189.7478,270.8239
6619.9968,True,45.3226,12.10837,141.5182,24.60779,25.27075,6.493897,-0.00016642,0.003102364,0.04089483,8.431491,185.301,244.2601
6641.9581,True,45.32821,12.11143,141.5152,23.55447,27.59706,6.560627,0.0001273041,0.003222061,0.04127702,7.583042,183.0594,223.8952
6665.894,True,45.33288,12.11432,141.512,22.59226,29.31658,6.412049,0.0001420059,0.00323053,0.04072446,10.2263,184.6399,228.7188
6687.8355,True,45.3367,12.11748,141.5097,21.53947,30.67489,6.081403,0.0002446442,0.003483269,0.04062741,13.6104,183.9653,212.3538
6707.7821,True,45.3401,12.12076,141.5078,20.39456,31.84767,5.669679,0.0004306107,0.003497307,0.04078547,11.50342,182.0063,199.7236
6730.725,True,45.34262,12.12334,141.5058,19.50681,32.65369,5.20297,0.0006418839,0.003461075,0.04104069,11.67307,180.5367,185.2468
6752.6704,True,45.34478,12.12565,141.5039,18.78429,33.32215,4.811025,0.0008021622,0.003396858,0.04118478,9.352114,177.6009,151.2813
6774.6118,True,45.34663,12.12811,141.5021,18.0637,33.78144,4.404339,0.000874382,0.003280327,0.04087464,8.59035,176.56,136.415
6796.5529,True,45.34549,12.12798,141.5024,18.17758,33.40958,4.41034,0.0009610748,0.003305946,0.0411047,8.356491,174.7987,116.2576
6815.5016,True,45.34585,12.12895,141.5018,17.8799,33.52941,4.210175,0.0007718353,0.003213776,0.04092554,7.726946,177.4491,143.5068
6834.4836,True,45.34619,12.13014,141.5012,17.55041,33.70375,3.988932,-0.0002298965,0.003222137,0.04081463,9.865736,188.7925,263.387
6853.4048,True,45.34906,12.13336,141.4985,16.5155,34.37262,3.278471,-0.0004204788,0.003239647,0.04082847,8.466229,189.3581,275.7523
6872.3544,True,45.35052,12.1354,141.4968,15.86725,34.8311,2.839388,-0.0004163284,0.003207718,0.04081799,8.025581,189.757,281.1665
6892.3008,True,45.35023,12.13526,141.4968,15.93736,34.8348,2.911541,-0.0003976288,0.003164688,0.04077165,7.715177,188.964,278.5939
6911.2503,True,45.35234,12.13795,141.4943,15.1288,35.49572,2.405701,-0.0003422699,0.002997086,0.04040051,7.067676,187.775,275.4721
6930.1994,True,45.35345,12.13953,141.4926,14.65571,35.89891,2.176707,-0.0002937851,0.002978371,0.04032942,6.790952,187.2743,273.9466
6949.1492,True,45.35322,12.13939,141.4927,14.70443,35.88837,2.232619,-0.0002623901,0.002890991,0.04013455,6.70138,187.0197,272.6647
6969.096,True,45.35464,12.1414,141.4902,14.13823,36.48996,1.933991,-0.0002114792,0.002951446,0.04041572,5.910623,186.7266,277.4041
6990.0392,True,45.35545,12.14244,141.4884,13.85619,36.83874,1.763473,-0.0001729889,0.002932304,0.04037318,5.47795,186.1843,276.9441
7008.9892,True,45.35612,12.14327,141.4867,13.62206,37.17505,1.613813,-0.0001284485,0.002846283,0.04017657,3.680324,183.8231,272.1819
7030.9345,True,45.35704,12.14493,141.4836,13.1634,37.83458,1.293662,-0.0001004486,0.002901871,0.0403326,4.822024,185.0047,272.1321
7050.881,True,45.35698,12.14522,141.483,13.07542,37.96688,1.226065,-6.44989E-05,0.00295861,0.0404823,4.919229,184.5347,265.336
7071.8248,True,45.35696,12.14575,141.4817,12.89741,38.19384,1.068234,-2.916717E-05,0.002908508,0.04033953,4.181979,184.5417,274.7268
7090.7741,True,45.35674,12.1461,141.4805,12.77716,38.38333,0.9048882,1.702881E-05,0.002868324,0.04024963,4.238106,184.2591,270.2834
7110.721,True,45.35632,12.14664,141.4795,12.63919,38.53354,0.7340277,4.61731E-05,0.002881027,0.0402443,4.122986,183.7346,264.3366
7129.6702,True,45.35586,12.14714,141.4785,12.46967,38.69928,0.5838869,5.641174E-05,0.002900948,0.04028057,3.912115,183.6716,266.3637
7152.4172,True,45.35503,12.14755,141.4778,12.32668,38.81889,0.4805993,8.054352E-05,0.002933937,0.04042924,3.890226,182.929,253.9434
7175.3559,True,45.35371,12.14785,141.4775,12.20865,38.83489,0.4445732,0.0001058731,0.002884499,0.04030327,3.76253,182.7466,252.249
7196.2996,True,45.35243,12.14832,141.4773,12.03349,38.70368,0.4179735,0.0001578827,0.00285466,0.04016155,3.663379,182.9457,257.5988
7221.7852,True,45.35073,12.14858,141.4774,11.92014,38.48275,0.3685057,0.0002727051,0.002929077,0.04043972,3.630156,182.0219,238.2212
7241.7316,True,45.3486,12.14863,141.4777,11.90566,38.16645,0.3365253,0.0004379654,0.002986458,0.04064412,3.553361,179.5241,164.7488
7263.673,True,45.3461,12.14869,141.4781,11.87849,37.74012,0.3505699,0.0004460678,0.002923317,0.04047804,3.112581,179.9278,177.3416
7285.6144,True,45.34291,12.14867,141.4791,11.86286,37.16689,0.384753,0.000440773,0.002931877,0.04050908,2.835714,180.709,208.0709
7307.5556,True,45.33942,12.14841,141.4802,11.88911,36.47562,0.4176743,0.0004247971,0.00289846,0.04043397,2.863431,180.7155,208.0557
7329.5002,True,45.33543,12.14832,141.4818,11.92585,35.68467,0.4107181,0.0003969269,0.002931381,0.04051052,3.377618,180.6673,202.3447
7352.439,True,45.33041,12.14829,141.4839,11.98018,34.66986,0.4582576,0.0003698654,0.002834061,0.04018596,2.780092,182.0146,251.8534
