timestamp,ticksSince1970 (100ns),actionId,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z
31.47529,16394916162562089,4,0.278369,1.051501,-0.1965718,1.615686,257.1777,1.615258
31.47529,16394916162562089,5,0.2653714,1.248888,-0.2167057,5.597572,259.0888,7.481642
31.47529,16394916162562089,6,0.2835298,1.154137,-0.1874027,1.771983,281.4457,7.875166
31.4877,16394916162681768,0,0.7559309,1.215943,-0.1782636,5.387237,267.9727,0.4195381
31.4877,16394916162681768,2,0.4681429,1.189608,-0.4157766,334.3871,264.9082,21.15031
31.4877,16394916162681768,3,0.3133261,1.267531,-0.1450111,348.1613,258.8983,357.6626
31.4877,16394916162681768,4,0.2782989,1.051601,-0.1966236,1.702929,257.1804,1.707287
31.4877,16394916162681768,5,0.2647277,1.248749,-0.217307,5.797245,259.0507,7.567513
31.4877,16394916162681768,6,0.2831622,1.154172,-0.1877527,1.899065,281.4182,8.029523
31.50013,16394916162801451,0,0.756319,1.216124,-0.1789291,5.361827,268.0165,0.4323187
31.50013,16394916162801451,2,0.4697671,1.189027,-0.4159195,334.2376,265.124,20.94107
31.50013,16394916162801451,3,0.3190256,1.270024,-0.1393146,346.2986,259.761,357.5276
31.51296,16394916162941080,0,0.7566528,1.216336,-0.1795722,5.266579,268.0417,0.4906123
31.51296,16394916162941080,2,0.4715641,1.188377,-0.4160514,334.0086,265.3612,20.67592
31.51296,16394916162941080,3,0.3252855,1.271749,-0.1341275,344.6036,260.1375,357.375
31.51296,16394916162941080,4,0.2783061,1.051593,-0.1965698,1.692202,257.1824,1.659489
31.51296,16394916162941080,5,0.2647118,1.248632,-0.2170309,5.831476,258.9996,7.540391
31.51296,16394916162941080,6,0.2831801,1.15409,-0.1875057,1.928377,281.3807,7.95117
31.52534,16394916163060757,0,0.7569399,1.216637,-0.1802291,5.15427,268.0604,0.596554
31.52534,16394916163060757,2,0.4734066,1.187643,-0.4163364,333.7527,265.5434,20.39194
31.52534,16394916163060757,3,0.331842,1.272532,-0.1293829,343.1797,260.0824,356.9579
31.53761,16394916163180432,0,0.7571182,1.216801,-0.1807866,4.96855,268.058,0.7125118
31.53761,16394916163180432,2,0.4751948,1.186802,-0.4168485,333.51,265.5936,20.15719
31.53761,16394916163180432,3,0.338101,1.272362,-0.1252565,342.1158,259.6454,356.1729
31.53761,16394916163180432,4,0.2783286,1.051507,-0.1965197,1.584167,257.1509,1.456017
31.53761,16394916163180432,5,0.2653094,1.248634,-0.2157875,5.72112,258.9377,7.2757
31.53761,16394916163180432,6,0.2836088,1.153897,-0.1869656,1.925631,281.3388,7.584848
31.5501,16394916163310086,0,0.7574316,1.216811,-0.1814041,4.757185,268.0241,0.863598
31.5501,16394916163310086,2,0.4768652,1.185756,-0.417642,333.3032,265.4881,20.0765
31.5501,16394916163310086,3,0.3438642,1.271157,-0.1216455,341.3385,258.9913,355.162
31.5501,16394916163310086,4,0.2785437,1.05143,-0.1964083,1.487028,257.1636,1.418331
31.5501,16394916163310086,5,0.2664984,1.248597,-0.2137047,5.246296,258.9509,6.655883
31.5501,16394916163310086,6,0.2841901,1.153384,-0.1859449,1.749321,281.3659,6.850099
31.56284,16394916163429768,0,0.7577596,1.216714,-0.1820225,4.637382,267.9789,1.03396
31.56284,16394916163429768,2,0.47802,1.184346,-0.4186084,333.2572,265.2706,20.13384
31.56284,16394916163429768,3,0.3490042,1.269443,-0.1184174,340.6777,258.448,354.5021
31.57542,16394916163559432,0,0.7580961,1.216499,-0.1824912,4.557988,267.9283,1.175454
31.57542,16394916163559432,2,0.4789066,1.182858,-0.4193319,333.3269,265.22,20.2368
31.57542,16394916163559432,3,0.3535059,1.266662,-0.1156249,340.3056,257.9587,354.2997
31.57542,16394916163559432,4,0.2786494,1.051296,-0.1962655,1.336348,257.1713,1.307241
